Drug
ubidecarenone-omega 3-vit E oral
coenzyme Q10 ubiquinol oral
ubiquinol bulk
Uceris oral
Udamin SP oral
Ulesfia topical
Uloric oral
UltimateCare One oral
Ultra A-D oral
Ultra Dairy Digestive oral
Ultra Flora Plus oral
Ultra Sleep doxylamine succinate oral
Ultracet oral
Ultram oral
Ultram ER oral
UltraSal-ER topical
Ultravate topical
Ultravate X topical
Ultravist injection
Umecta topical
Umecta PD topical
Unasyn injection
Unguentine topical
Unisom diphenhydramine oral
Unisom Sleepgels oral
Unisom doxylamine oral
Unisom SleepMelts oral
Unithroid oral
Unna-Flex Elastic Unna Boot topical
Uptravi oral
Uramaxin topical
Uramaxin GT topical
Uramaxin topical
urea topical
urea topical
urea topical
Ureacin-20 topical
Urecholine oral
Urelle oral
Uretron D-S oral
Uribel oral
uridine bulk
URIMAR-T oral
Urin DS oral
Urinary Pain Relief oral
Urinozinc Prostate Formula oral
Uristat oral
Uristat
Urocit-K 10 oral
Urocit-K 15 oral
Urogesic-Blue oral
Uro-MP oral
Uroqid-Acid No2 oral
Uroxatral oral
URSO 250 oral
URSO Forte oral
ursodiol oral
ursodiol bulk
ustekinumab subcutaneous
Ustell oral
Utibron Neohaler inhalation
Utira-C oral
UTI-Stat oral
Zaditor ophthalmic
zafirlukast oral
zaleplon oral
Zaltrap intravenous
Zamicet oral
Zanaflex oral
Zanfel topical
Zantac Maximum Strength oral
Zantac 75 oral
Zantac oral
Zantac injection
Zarah oral
Zarontin oral
Zarxio injection
Zatean-CH oral
Zatean-Pn DHA oral
Zatean-Pn Plus oral
Zavesca oral
Zeasorb AF topical
zeaxanthin bulk
Zebeta oral
Zebutal oral
Zecuity transdermal
Zegerid oral
Zegerid OTC oral
Zejula oral
Zelapar oral
Zelboraf oral
Zemaira intravenous
Zembrace Symtouch subcutaneous
Zemplar oral
Zemplar intravenous
Zenatane oral
ZenChent 28 oral
Zenchent Fe oral
Zenpep oral
Zenzedi oral
Zepatier oral
Zephrex-D oral
Zerit oral
Zerit oral
Zestoretic oral
Zestril oral
Zetia oral
Zetonna nasal
Zevalin Y-90 intravenous
Ziac oral
Ziagen oral
Ziana topical
ziconotide intrathecal
zidovudine oral
Zilactin-B mucous membrane
Zilretta intra-articular
Zim''s Max-Freeze topical
Zinacef injection
Zinacef intravenous
Zinbryta subcutaneous
zinc acetate oral
zinc gluconate oral
Zinc with Vitamins A and C Lozenges oral
Zinc Oxide Diaper Cream topical
zinc sulfate oral
zinc sulfate intravenous
zinc amino acid chelate oral
zinc undecylenate
Zinc-15 oral
Zioptan PF ophthalmic
ziprasidone oral
ziprasidone mesylate intramuscular
Zipsor oral
Zirgan ophthalmic
Zithranol topical
Zithranol-RR topical
Zithromax Z-Pak oral
Zithromax oral
Zithromax oral
Zithromax oral
Zithromax oral
Zithromax TRI-PAK oral
Zithromax intravenous
Zmax oral
Zocor oral
Zodryl AC 25 oral
Zofran oral
Zofran ODT oral
Zofran intravenous
Zohydro ER oral
Zoladex subcutaneous
zoledronic acid intravenous
Zolinza oral
zolmitriptan oral
zolmitriptan oral
zolmitriptan nasal
Zoloft oral
zolpidem oral
zolpidem sublingual
zolpidem oral
zolpidem oral
zolpidem sublingual
Zolpimist oral
Zometa intravenous
Zomig oral
Zomig nasal
Zomig ZMT oral
Zonalon topical
Zonegran oral
zonisamide oral
Zontivity oral
Zortress oral
Zorvolex oral
ZOSTAVAX PF subcutaneous
zoster vaccine live PF subcutaneous
Zostrix topical
Zostrix-HP topical
Zosyn in dextrose iso-osmotic intravenous
Zosyn intravenous
Zovia 1-35E 28 oral
Zovia 1-50E 28 oral
Zovirax oral
Zovirax topical
Zovirax topical
ZTlido topical
Zubsolv sublingual
Zuplenz oral
Zutripro oral
Zyban oral
Zyclara topical
Zyclara topical
Zydelig oral
Zyflo oral
Zyflo CR oral
Zylet ophthalmic
Zyloprim oral
Zymaxid ophthalmic
Zyncol oral
Zypram rectal
Zyprexa oral
Zyprexa Relprevv intramuscular
Zyprexa intramuscular
Zyprexa Zydis oral
Zyrtec oral
Zyrtec-D oral
Zytaze oral
Zytiga oral
Zyvox oral
Zyvox intravenous
Zyvox oral
ZzzQuil oral
O-Cal Prenatal oral
OB Complete One oral
OB Complete Petite oral
Obagi Nu-Derm Clear topical
obinutuzumab intravenous
Obtrex DHA oral
Ocaliva oral
Ocean Blue Omega-3 oral
Ocean Blue Omega-3   D3 oral
Ocean Blue Prenatal DHA oral
Ocella oral
Ocrevus intravenous
Octagam intravenous
octoxynol
OctreoScan intravenous
octreotide acetate injection
Octylseal topical
Ocuflox ophthalmic
OcuSoft Lid Scrub topical
OcuSoft Lid Scrub Plus topical
Ocuvite Adult 50  oral
Ocuvite Lutein and Zeaxanthin oral
Odactra sublingual
Odefsey oral
Odomzo oral
Odorless Garlic oral
ofatumumab intravenous
Ofev oral
Ofirmev intravenous
ofloxacin oral
ofloxacin otic
ofloxacin ophthalmic
Ogestrel 28 oral
oregano oil oral
olanzapine oral
olanzapine oral
olanzapine pamoate intramuscular
olanzapine intramuscular
olanzapine-fluoxetine oral
olive leaf extract oral
olive oil oral
olmesartan oral
olmesartan-amlodipine-hydrochlorothiazide oral
olmesartan-hydrochlorothiazide oral
olodaterol inhalation
olopatadine nasal
olopatadine ophthalmic
Olumiant oral
Olux topical
Olux-E topical
Olysio oral
omacetaxine subcutaneous
omalizumab subcutaneous
Omeclamox-Pak oral
Omega 3-6-9 oral
Omega 3-6-9 Complex oral
Omega 3-6-9 Fatty Acids oral
Omega-3   Vitamin D3 oral
omega-3 acid ethyl esters oral
Omega-3 oral
omega-3 fatty acids oral
Omega 3 Fish Oil oral
Omega-3 Fish Oil oral
omega3-docosahexanoic acid-epa-other omega3s-fish oil oral
krill oil-omega 3-dha-epa-phospholipids oral
krill oil-omega-3-dha-epa oral
omega-3-dha-epa-dpa-fish oil oral
omega 3-B6-B12-E-folic acid-fish oil oral
omeprazole oral
omeprazole bulk
omeprazole oral
omeprazole magnesium oral
omeprazole magnesium oral
omeprazole magnesium oral
omeprazole-clarithromycin-amoxicillin oral
omeprazole-sodium bicarbonate oral
Omera oral
Omidria intraocular
Omnaris nasal
Omnicap oral
Omnipaque 300 intravenous
Omnipaque 350 intravenous
Omnipaque 180 intrathecal
Omnipred ophthalmic
Omniscan intravenous
Omnitrope subcutaneous
onabotulinumtoxinA intramuscular
Oncaspar injection
Oncovite oral
ondansetron oral
ondansetron HCl oral
ondansetron HCl bulk
ondansetron HCl intravenous
ondansetron oral
One A Day Women''s Prenatal DHA oral
One Daily Womens 50 Plus oral
One Daily Women''s Health oral
Oralone dental
One-A-Day Cholesterol Plus oral
One-A-Day Essential oral
One-A-Day Maximum Formula oral
One-A-Day Menopause Formula oral
One-A-Day Men''s Multivitamin oral
One-A-Day Men''s 50 Plus with ginkgo oral
One-A-Day Teen Advantage oral
One-A-Day Trubiotics oral
One-A-Day VitaCraves oral
One-A-Day Women VitaCraves oral
One-A-Day Womens Formula oral
Onexton topical
Onfi oral
Onglyza oral
Onmel oral
Onzetra Xsail nasal
Opana oral
Opana injection
Opana ER oral
Opcon-A ophthalmic
Opdivo intravenous
opium tincture oral
Opsumit oral
Optifast 70 oral
OptiFlex-C oral
Optimal D3 oral
OptiMARK intravenous
Optiray 320 intravenous
Optiray 350 intravenous
Optison intravenous
Oracea oral
Oracit oral
Orap oral
Orapred ODT oral
Orasep mucous membrane
Oravig buccal
Orazinc oral
Orencia ClickJect subcutaneous
Orencia subcutaneous
Orencia with maltose intravenous
Orenitram oral
Orfadin oral
Organ-I NR oral
Orilissa oral
oritavancin intravenous
Orkambi oral
orlistat oral
orphenadrine citrate oral
orphenadrine citrate injection
orphenadrine citrate
orphenadrine-ASA-caffeine oral
Orsythia oral
Ortho Micronor oral
Ortho Tri-Cyclen 28 oral
Ortho Tri-Cyclen Lo 28 oral
Ortho-Cyclen 28 oral
Ortho-Nesic topical
Ortho-Novum 7-7-7 28 oral
Ortho-Novum 1-35 28 oral
ORTHOVISC intra-articular
Os-Cal 500   D3 oral
Oscimin oral
Oscimin SL sublingual
Oscimin oral
oseltamivir oral
oseltamivir oral
Oseni oral
Osmolite 15 Cal oral
OsmoPrep oral
ospemifene oral
Osphena oral
Osteo Bi-Flex Triple Strength oral
Osteo Bi-Flex oral
Osteo Bi-Flex 5-Loxin oral
Ostera oral
Otezla oral
Otezla Starter oral
Otrexup PF subcutaneous
Outgro topical
Ovace topical
Ovace Plus topical
Ovace Plus topical
Ovace Plus topical
Ovace Plus Shampoo topical
Ovasitol oral
Ovcon-35 28 oral
Ovide topical
Ovidrel subcutaneous
oxacillin intravenous
oxacillin in dextrose iso-osmotic intravenous
oxaliplatin intravenous
Oxandrin oral
oxandrolone oral
oxaprozin oral
Oxaydo oral
oxazepam oral
oxcarbazepine oral
oxcarbazepine oral
oxcarbazepine oral
Oxipor VHC topical
Oxistat topical
Oxsoralen topical
Oxsoralen Ultra oral
Oxtellar XR oral
oxybutynin chloride oral
oxybutynin chloride oral
oxybutynin chloride transdermal
oxybutynin chloride transdermal
oxybutynin chloride
oxybutynin transdermal
Oxycel Cotton-Type Pledget
oxycodone bulk
oxycodone oral
oxycodone oral
oxycodone oral
oxycodone-aspirin oral
ibuprofen-oxycodone oral
oxycodone myristate oral
oxycodone oral
OxyContin oral
oxymetazoline nasal
oxymetholone oral
oxymorphone oral
oxymorphone oral
oxytocin bulk
oxytocin injection
oxytocin in 09  sodium chloride intravenous
oxytocin in dextrose 5 intravenous
Oxytrol For Women transdermal
Oxytrol transdermal
Oxyzal Wet Dressing topical
Oyster Shell   D3 oral
Oyster Shell Calcium-Vitamin D3 oral
Ozempic subcutaneous
Ozurdex intravitreal
Acthar HP injection
H-Chlor 12
H-R Lubricating Jelly topical
Hair Regrowth For Women topical
Hair Regrowth For Men topical
Hair Regrowth Treatment topical
Hair Vitamins oral
"Hair,Skin and Nails folic acid-biotin oral"
Halaven intravenous
halcinonide topical
Halcion oral
Haldol injection
Haldol Decanoate intramuscular
Halls Defense oral
Halls Cough Drops mucous membrane
halobetasol propionate topical
halobetasol propionate topical
Halog topical
haloperidol oral
haloperidol bulk
haloperidol decanoate intramuscular
haloperidol lactate oral
haloperidol lactate intramuscular
haloperidol lactate injection
Hand Sanitizer topical
Harvoni oral
Hawthorn Extract oral
Hawthorn Berry oral
Headache Relief ASA-acetaminophn-caffeine oral
HealthyLax oral
Heartburn Prevention oral
Heartburn Prevention oral
Heartburn Relief oral
Heartburn Relief ranitidine oral
Heartburn Relief ranitidine oral
Heartburn Treatment 24 Hour oral
Heather oral
Hectorol oral
Hectorol intravenous
Heliocare oral
Helixate FS intravenous
Hemangeol oral
Hematinic Plus Vit-Minerals oral
Hematinic-Folic Acid oral
Hematogen oral
Hematogen FA oral
Hematogen Forte oral
Hematron-AF oral
Hemax oral
HemeNatal OB oral
HemeNatal OB   DHA oral
Hemocyte oral
Hemocyte-Plus oral
Hemocyte-F oral
Hemorrhoidal Cream rectal
Hemorrhoid rectal
Hemorrhoidal Suppository rectal
hep B-DPaT-polio vaccine PF intramuscular
heparin porcine in 09  sodium chloride intravenous
Heparin Flush intravenous
heparin porcine injection
heparin porcine in 09  sodium chloride intravenous
heparin porcine in 5  dextrose intravenous
"heparin, porcine PF injection"
hepatitis A and B virus vaccine PF intramuscular
